Name,Price,Role,Country,Team
Andrew Tye,Rs. 1.00 Cr,Bowler,Australia,RR
Tom Curran,Rs. 1.00 Cr,All Rounder,England,RR
Anuj Rawat,Rs. 80.00 Lac,Wicket Keeper,India,RR
David Miller,Rs. 75.00 Lac,Batsman,South Africa,RR
Oshane Thomas,Rs. 50.00 Lac,Bowler,West Indies,RR
Shashank Singh,Rs. 30.00 Lac,All Rounder,India,RR
Mahipal Lomror,Rs. 20.00 Lac,All Rounder,India,RR
Manan Vohra,Rs. 20.00 Lac,Batsman,India,RR
Riyan Parag,Rs. 20.00 Lac,All Rounder,India,RR
Shreyas Gopal,Rs. 20.00 Lac,All Rounder,India,RR
Akash Singh,Rs. 20.00 Lac,Bowler,India,RR
Anirudha Joshi,Rs. 20.00 Lac,All Rounder,India,RR
